2024-04-01T12:51:34.486+02:00 r= ip=  INFO 42791 --- [wendys-tournament-management] [main] .a.i.SeprIndividualAssignmentApplication : Starting SeprIndividualAssignmentApplication using Java 21 with PID 42791 (/Users/deluxe/uni/ss2024/sepr/projekt/backend/target/classes started by deluxe in /Users/deluxe/uni/ss2024/sepr/projekt/backend)
2024-04-01T12:51:34.501+02:00 r= ip=  INFO 42791 --- [wendys-tournament-management] [main] .a.i.SeprIndividualAssignmentApplication : No active profile set, falling back to 1 default profile: "default"
2024-04-01T13:06:44.001+02:00 r=74997e1fe76c ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-1] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=14ms
2024-04-01T13:07:17.286+02:00 r=a4d29b409405 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-2] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0
2024-04-01T13:07:17.290+02:00 r=a4d29b409405 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-2] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/1
2024-04-01T13:07:17.294+02:00 r=a4d29b409405 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-2] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=6ms
2024-04-01T13:07:22.051+02:00 r=18e95304185f ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-3] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0
2024-04-01T13:07:22.054+02:00 r=18e95304185f ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-3] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/1
2024-04-01T13:07:22.058+02:00 r=18e95304185f ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-3] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=6ms
2024-04-01T13:07:59.146+02:00 r=1cddb61305e3 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-4] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0
2024-04-01T13:07:59.152+02:00 r=1cddb61305e3 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-4] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/1
2024-04-01T13:07:59.158+02:00 r=1cddb61305e3 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-4] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=10ms
2024-04-01T13:08:00.155+02:00 r=8ca319b8198c ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-5] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0
2024-04-01T13:08:00.159+02:00 r=8ca319b8198c ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-5] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/1
2024-04-01T13:08:00.164+02:00 r=8ca319b8198c ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-5] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=9ms
2024-04-01T13:08:43.600+02:00 r=a1f3bfc004e7 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-6] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0
2024-04-01T13:08:43.609+02:00 r=a1f3bfc004e7 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-6] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/1
2024-04-01T13:08:43.614+02:00 r=a1f3bfc004e7 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-6] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=12ms
2024-04-01T13:09:38.285+02:00 r=e0883400ab59 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-7] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0
2024-04-01T13:09:38.287+02:00 r=e0883400ab59 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-7] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/1
2024-04-01T13:09:38.292+02:00 r=e0883400ab59 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-7] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=6ms
2024-04-01T13:14:45.474+02:00 r=6f59b0a426b3 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-9] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0
2024-04-01T13:14:45.483+02:00 r=6f59b0a426b3 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-9] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/1
2024-04-01T13:14:45.494+02:00 r=6f59b0a426b3 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-9] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=17ms
2024-04-01T13:16:14.564+02:00 r=5755a296ea29 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-1] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0
2024-04-01T13:16:14.567+02:00 r=5755a296ea29 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-1] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/1
2024-04-01T13:16:14.570+02:00 r=5755a296ea29 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-1] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=4ms
2024-04-01T13:16:16.338+02:00 r=adb88382b3b5 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-2] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0
2024-04-01T13:16:16.340+02:00 r=adb88382b3b5 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-2] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/1
2024-04-01T13:16:16.346+02:00 r=adb88382b3b5 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-2] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=7ms
2024-04-01T13:16:18.327+02:00 r=92b35c822db9 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-3] a.a.t.s.a.individual.config.LogFilter    : >>> OPTIONS /horses/1 UA=Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0
2024-04-01T13:16:18.332+02:00 r=92b35c822db9 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-3] a.a.t.s.a.individual.config.LogFilter    : <<< OPTIONS /horses/1 status=200 time=4ms
